"aɪ"	"V"	"VV"
"sa.jan.taŋ"	"CV.CVC.CVC"	"CV.CVC.CVC"
"sa.ka"	"CV.CV"	"CV.CV"
"sa.kan"	"CV.CVC"	"CV.CVC"
"sa.ka.nar.jan"	"CV.CV.CVC.CVC"	"CV.CV.CVC.CVC"
"sa.kan.jam"	"CV.CVC.CVC"	"CV.CVC.CVC"
"sa.kran"	"CV.CCVC"	"CV.CCVC"
"sa.laɪ"	"CV.CV"	"CV.CVV"
"sal.jan"	"CVC.CVC"	"CVC.CVC"
"saɪ.lɪŋ"	"CV.CVC"	"CVV.CVC"
"sam"	"CVC"	"CVC"
"sa.ma.ja"	"CV.CV.CV"	"CV.CV.CV"
"sa.ma.jɔn"	"CV.CV.CVC"	"CV.CV.CVC"
"sa.man"	"CV.CVC"	"CV.CVC"
"sa.man.jam"	"CV.CVC.CVC"	"CV.CVC.CVC"
"sam.jan"	"CVC.CVC"	"CVC.CVC"
"sam.pe.san"	"CVC.CV.CVC"	"CVC.CV.CVC"
"sam.pɪŋ"	"CVC.CVC"	"CVC.CVC"
"sam.van"	"CVC.CVC"	"CVC.CVC"
"saːn"	"CVC"	"CVVC"
"sa.ne.tu"	"CV.CV.CV"	"CV.CV.CV"
"saŋ.al"	"CVC.VC"	"CVC.VC"
"saŋ.gan"	"CVC.CVC"	"CVC.CVC"
"saŋ.gu.mo.sa.pɔɪ"	"CVC.CV.CV.CV.CV"	"CVC.CV.CV.CV.CVV"
"saŋ.ki.na"	"CVC.CV.CV"	"CVC.CV.CV"
"saŋ.u.mi.raɪ"	"CVC.V.CV.CV"	"CVC.V.CV.CVV"
"saŋ.u.mo"	"CVC.V.CV"	"CVC.V.CV"
"saː.ni.saːn"	"CV.CV.CVC"	"CVV.CV.CVVC"
"sa.no"	"CV.CV"	"CV.CV"
"san.ta"	"CVC.CV"	"CVC.CV"
"sa.pa"	"CV.CV"	"CV.CV"
"sa.paɪ"	"CV.CV"	"CV.CVV"
"sa.pa.du"	"CV.CV.CV"	"CV.CV.CV"
"sa.pa.ji.la"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"sa.peɪ"	"CV.CV"	"CV.CVV"
"sa.pɪn"	"CV.CVC"	"CV.CVC"
"sa.pɔɪ"	"CV.CV"	"CV.CVV"
"sa.pu"	"CV.CV"	"CV.CV"
"sa.ra"	"CV.CV"	"CV.CV"
"sa.ra.gan"	"CV.CV.CVC"	"CV.CV.CVC"
"sa.ra.ha"	"CV.CV.CV"	"CV.CV.CV"
"sa.raːn"	"CV.CVC"	"CV.CVVC"
"sa.ra.saɪ.lɪŋ"	"CV.CV.CV.CVC"	"CV.CV.CVV.CVC"
"sa.ri"	"CV.CV"	"CV.CV"
"sa.ri.sa"	"CV.CV.CV"	"CV.CV.CV"
"sa.ro.jo"	"CV.CV.CV"	"CV.CV.CV"
"sar.vo"	"CVC.CV"	"CVC.CV"
"sa.saːn"	"CV.CVC"	"CV.CVVC"
"sa.san.le.kaːn"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVVC"
"sa.te.kan"	"CV.CV.CVC"	"CV.CV.CVC"
"sa.ti"	"CV.CV"	"CV.CV"
"sa.ti.kaːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"sa.ti.ko"	"CV.CV.CV"	"CV.CV.CV"
"sa.ti.ru"	"CV.CV.CV"	"CV.CV.CV"
"sa.ti.taɪ"	"CV.CV.CV"	"CV.CV.CVV"
"sa.tʃo"	"CV.CV"	"CV.CCV"
"saʊ.tan"	"CV.CVC"	"CVV.CVC"
"sa.va"	"CV.CV"	"CV.CV"
"sa.va.pɛn"	"CV.CV.CVC"	"CV.CV.CVC"
"sa.va.ta.kaŋ"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"sa.vi.tan"	"CV.CV.CVC"	"CV.CV.CVC"
"seɪ"	"CV"	"CVV"
"se.bu"	"CV.CV"	"CV.CV"
"se.dan"	"CV.CVC"	"CV.CVC"
"se.gas"	"CV.CVC"	"CV.CVC"
"seɪ.go"	"CV.CV"	"CVV.CV"
"se.ja.ran"	"CV.CV.CVC"	"CV.CV.CVC"
"se.ka"	"CV.CV"	"CV.CV"
"se.kaɪ"	"CV.CV"	"CV.CVV"
"seɪ.ka.jan"	"CV.CV.CVC"	"CVV.CV.CVC"
"seɪ.kaːr.jan"	"CV.CVC.CVC"	"CVV.CVVC.CVC"
"seɪ.ki.van"	"CV.CV.CVC"	"CVV.CV.CVC"
"seɪ.la.kan"	"CV.CV.CVC"	"CVV.CV.CVC"
"se.laŋ"	"CV.CVC"	"CV.CVC"
"sə.laŋ.ba.laŋ"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"se.laŋ.ku.ran"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"se.laŋ.nu.naːn"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVVC"
"se.lɛs"	"CV.CVC"	"CV.CVC"
"se.li"	"CV.CV"	"CV.CV"
"sɛl.jaːn"	"CVC.CVC"	"CVC.CVVC"
"sɛl.vi.leɪ"	"CVC.CV.CV"	"CVC.CV.CVV"
"se.maːn"	"CV.CVC"	"CV.CVVC"
"sɛm.ba"	"CVC.CV"	"CVC.CV"
"sɛm.baŋ"	"CVC.CVC"	"CVC.CVC"
"sɛm.paɪ"	"CVC.CV"	"CVC.CVV"
"sɛm.paɪ.jan"	"CVC.CV.CVC"	"CVC.CVV.CVC"
"se.pan"	"CV.CVC"	"CV.CVC"
"se.pra.ka.rɔn"	"CV.CCV.CV.CVC"	"CV.CCV.CV.CVC"
"se.pran"	"CV.CCVC"	"CV.CCVC"
"se.ran.taɪ"	"CV.CVC.CV"	"CV.CVC.CVV"
"seɪ.sa.man"	"CV.CV.CVC"	"CVV.CV.CVC"
"se.tɪm"	"CV.CVC"	"CV.CVC"
"si"	"CV"	"CV"
"si.ban"	"CV.CVC"	"CV.CVC"
"si.bu.na"	"CV.CV.CV"	"CV.CV.CV"
"si.bu.ni.sa"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"si.de.gan"	"CV.CV.CVC"	"CV.CV.CVC"
"si.dʒan"	"CV.CVC"	"CV.CCVC"
"si.ga.raɪ"	"CV.CV.CV"	"CV.CV.CVV"
"si.gi"	"CV.CV"	"CV.CV"
"si.gu"	"CV.CV"	"CV.CV"
"si.gu.mo"	"CV.CV.CV"	"CV.CV.CV"
"si.gu.ran"	"CV.CV.CVC"	"CV.CV.CVC"
"si.ha.baːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"si.han"	"CV.CVC"	"CV.CVC"
"si.hi.rʊɪ"	"CV.CV.CV"	"CV.CV.CVV"
"si.jan"	"CV.CVC"	"CV.CVC"
"si.kaɪ"	"CV.CV"	"CV.CVV"
"si.kan"	"CV.CVC"	"CV.CVC"
"si.ka.taːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"si.ka.tan"	"CV.CV.CVC"	"CV.CV.CVC"
"si.ka.tu"	"CV.CV.CV"	"CV.CV.CV"
"si.kɪl"	"CV.CVC"	"CV.CVC"
"si.kɔŋ"	"CV.CVC"	"CV.CVC"
"si.ku"	"CV.CV"	"CV.CV"
"si.laŋ"	"CV.CVC"	"CV.CVC"
"si.mi.le.no"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"si.mi.li.taɪ"	"CV.CV.CV.CV"	"CV.CV.CV.CVV"
"si.mi.li.tan"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"si.mi.raŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"si.mɪl"	"CV.CVC"	"CV.CVC"
"si.mɪn"	"CV.CVC"	"CV.CVC"
"si.mɪŋ"	"CV.CVC"	"CV.CVC"
"si.na"	"CV.CV"	"CV.CV"
"si.nan"	"CV.CVC"	"CV.CVC"
"si.nɪŋ"	"CV.CVC"	"CV.CVC"
"si.no"	"CV.CV"	"CV.CV"
"si.paːn"	"CV.CVC"	"CV.CVVC"
"si.pu"	"CV.CV"	"CV.CV"
"si.raɪ"	"CV.CV"	"CV.CVV"
"si.ra.ji.la"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"si.raɪ.ti.nu"	"CV.CV.CV.CV"	"CV.CVV.CV.CV"
"si.ri.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"si.ri.man"	"CV.CV.CVC"	"CV.CV.CVC"
"si.ri.maŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"si.rɪm"	"CV.CVC"	"CV.CVC"
"si.ru"	"CV.CV"	"CV.CV"
"si.ru.ka.rɔn"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"si.ru.si.tram"	"CV.CV.CV.CCVC"	"CV.CV.CV.CCVC"
"si.ru.taɪ"	"CV.CV.CV"	"CV.CV.CVV"
"si.ru.taɪ.jaːn"	"CV.CV.CV.CVC"	"CV.CV.CVV.CVVC"
"si.san"	"CV.CVC"	"CV.CVC"
"si.si"	"CV.CV"	"CV.CV"
"si.ta.daɪ"	"CV.CV.CV"	"CV.CV.CVV"
"si.taŋ.an"	"CV.CVC.VC"	"CV.CVC.VC"
"si.taŋ.e.ri"	"CV.CVC.V.CV"	"CV.CVC.V.CV"
"si.taŋ.lɛn.tan"	"CV.CVC.CVC.CVC"	"CV.CVC.CVC.CVC"
"si.taŋ.lu.gaːn"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVVC"
"si.taŋ.pa.ro.naːn"	"CV.CVC.CV.CV.CVC"	"CV.CVC.CV.CV.CVVC"
"si.taŋ.tɛn.jan"	"CV.CVC.CVC.CVC"	"CV.CVC.CVC.CVC"
"si.tan.ja"	"CV.CVC.CV"	"CV.CVC.CV"
"si.tɛm"	"CV.CVC"	"CV.CVC"
"si.tɛm.ru.gɔn"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"si.tram"	"CV.CCVC"	"CV.CCVC"
"si.va.taɪ"	"CV.CV.CV"	"CV.CV.CVV"
"sɪk.sɪk"	"CVC.CVC"	"CVC.CVC"
"sɪl.ni.lan"	"CVC.CV.CVC"	"CVC.CV.CVC"
"sɪl.va"	"CVC.CV"	"CVC.CV"
"sɪl.va.ja"	"CVC.CV.CV"	"CVC.CV.CV"
"sɪl.va.ka.hu"	"CVC.CV.CV.CV"	"CVC.CV.CV.CV"
"sɪl.va.ma.ri.nan"	"CVC.CV.CV.CV.CVC"	"CVC.CV.CV.CV.CVC"
"sɪl.van"	"CVC.CVC"	"CVC.CVC"
"sɪl.vaːn"	"CVC.CVC"	"CVC.CVVC"
"sɪl.vaŋ.kaɪ.vaɪ"	"CVC.CVC.CV.CV"	"CVC.CVC.CVV.CVV"
"sɪl.va.ni.kan"	"CVC.CV.CV.CVC"	"CVC.CV.CV.CVC"
"sɪl.var.ju"	"CVC.CVC.CV"	"CVC.CVC.CV"
"sɪl.ve.no"	"CVC.CV.CV"	"CVC.CV.CV"
"sɪl.vi.saːn"	"CVC.CV.CVC"	"CVC.CV.CVVC"
"sɪm.beɪ"	"CVC.CV"	"CVC.CVV"
"sɪm.paːr.ja"	"CVC.CVC.CV"	"CVC.CVVC.CV"
"sɪn.daɪ"	"CVC.CV"	"CVC.CVV"
"sʊn.dal"	"CVC.CVC"	"CVC.CVC"
"sʊn.da.li.su"	"CVC.CV.CV.CV"	"CVC.CV.CV.CV"
"sɪn.daɪ.naŋ.a"	"CVC.CV.CVC.V"	"CVC.CVV.CVC.V"
"sɪŋ"	"CVC"	"CVC"
"sɪŋ.aɪ"	"CVC.V"	"CVC.VV"
"sɪŋ.as"	"CVC.VC"	"CVC.VC"
"sɪŋ.ka"	"CVC.CV"	"CVC.CV"
"sɪŋ.kjan"	"CVC.CCVC"	"CVC.CCVC"
"sɪŋ.kɔɪ"	"CVC.CV"	"CVC.CVV"
"sʊŋ.ko.ran"	"CVC.CV.CVC"	"CVC.CV.CVC"
"sɪn.ja"	"CVC.CV"	"CVC.CV"
"sɪn.jaːn"	"CVC.CVC"	"CVC.CVVC"
"sɪn.ji.sa"	"CVC.CV.CV"	"CVC.CV.CV"
"sɪn.to"	"CVC.CV"	"CVC.CV"
"sɪn.tu.ra.kaːn"	"CVC.CV.CV.CVC"	"CVC.CV.CV.CVVC"
"sɪn.tu.raːn"	"CVC.CV.CVC"	"CVC.CV.CVVC"
"so.ba.ja"	"CV.CV.CV"	"CV.CV.CV"
"so.ban"	"CV.CVC"	"CV.CVC"
"so.bi.sa.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"so.ja"	"CV.CV"	"CV.CV"
"so.jaŋ"	"CV.CVC"	"CV.CVC"
"so.ja.no"	"CV.CV.CV"	"CV.CV.CV"
"so.mɔn"	"CV.CVC"	"CV.CVC"
"sɔn.dam"	"CVC.CVC"	"CVC.CVC"
"so.rʊŋ"	"CV.CVC"	"CV.CVC"
"sɪr.sa.paɪ"	"CVC.CV.CV"	"CVC.CV.CVV"
"sɪr.tam.pɛl"	"CVC.CVC.CVC"	"CVC.CVC.CVC"
"sɪr.taŋ"	"CVC.CVC"	"CVC.CVC"
"sɪr.taŋ.a.ti"	"CVC.CVC.V.CV"	"CVC.CVC.V.CV"
"sʊr.tɪm"	"CVC.CVC"	"CVC.CVC"
"su.beɪ"	"CV.CV"	"CV.CVV"
"su.hɪŋ"	"CV.CVC"	"CV.CVC"
"su.jan"	"CV.CVC"	"CV.CVC"
"su.ja.no"	"CV.CV.CV"	"CV.CV.CV"
"su.ju"	"CV.CV"	"CV.CV"
"su.kran"	"CV.CCVC"	"CV.CCVC"
"su.lan"	"CV.CVC"	"CV.CVC"
"su.pɪn"	"CV.CVC"	"CV.CVC"
"su.ran"	"CV.CVC"	"CV.CVC"
"su.ta"	"CV.CV"	"CV.CV"
"su.taɪ"	"CV.CV"	"CV.CVV"
"su.van"	"CV.CVC"	"CV.CVC"
"su.va.ran"	"CV.CV.CVC"	"CV.CV.CVC"
"swan.tan"	"CCVC.CVC"	"CCVC.CVC"
"ta"	"CV"	"CV"
"tʃa"	"CV"	"CCV"
"tʃaːɪ"	"CV"	"CCVVV"
"ta.ba.daːɪ"	"CV.CV.CV"	"CV.CV.CVVV"
"ta.bam.pe.hu"	"CV.CVC.CV.CV"	"CV.CVC.CV.CV"
"tʃa.ban"	"CV.CVC"	"CCV.CVC"
"ta.ba.ni.ka.pa"	"CV.CV.CV.CV.CV"	"CV.CV.CV.CV.CV"
"ta.ba.sa"	"CV.CV.CV"	"CV.CV.CV"
"tʃa.bɛŋ"	"CV.CVC"	"CCV.CVC"
"tʃa.bo"	"CV.CV"	"CCV.CV"
"ta.bɔɪ"	"CV.CV"	"CV.CVV"
"ta.daɪ"	"CV.CV"	"CV.CVV"
"ta.da.haŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"ta.da.jɛn"	"CV.CV.CVC"	"CV.CV.CVC"
"ta.daɪ.kaɪ"	"CV.CV.CV"	"CV.CVV.CVV"
"ta.daŋ"	"CV.CVC"	"CV.CVC"
"ta.dʒa.rɪl"	"CV.CV.CVC"	"CV.CCV.CVC"
"ta.daɪ.rɔn"	"CV.CV.CVC"	"CV.CVV.CVC"
"ta.dʒas"	"CV.CVC"	"CV.CCVC"
"ta.di.su"	"CV.CV.CV"	"CV.CV.CV"
"ta.do"	"CV.CV"	"CV.CV"
"ta.dɔɪ"	"CV.CV"	"CV.CVV"
"ta.gas"	"CV.CVC"	"CV.CVC"
"ta.gaː.ti"	"CV.CV.CV"	"CV.CVV.CV"
"ta.ha.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ta.haːn"	"CV.CVC"	"CV.CVVC"
"ta.ha.nan"	"CV.CV.CVC"	"CV.CV.CVC"
"ta.ha.na.ti"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ta.haŋ"	"CV.CVC"	"CV.CVC"
"ta.ha.ni.saːn"	"CV.CV.CV.CVC"	"CV.CV.CV.CVVC"
"ta.ha.nɪŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"ta.ha.nɪs"	"CV.CV.CVC"	"CV.CV.CVC"
"ta.hi"	"CV.CV"	"CV.CV"
"ta.ja.no"	"CV.CV.CV"	"CV.CV.CV"
"ta.jɔn"	"CV.CVC"	"CV.CVC"
"ta.ka"	"CV.CV"	"CV.CV"
"ta.ka.kan"	"CV.CV.CVC"	"CV.CV.CVC"
"ta.ka.la"	"CV.CV.CV"	"CV.CV.CV"
"ta.ka.mɛn.ja"	"CV.CV.CVC.CV"	"CV.CV.CVC.CV"
"ta.kan"	"CV.CVC"	"CV.CVC"
"ta.ka.ne.na"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ta.ka.nɛŋ.an"	"CV.CV.CVC.VC"	"CV.CV.CVC.VC"
"ta.kaŋ"	"CV.CVC"	"CV.CVC"
"ta.ki.sa"	"CV.CV.CV"	"CV.CV.CV"
"ta.ki.vo"	"CV.CV.CV"	"CV.CV.CV"
"taɪ.kɔn.dam"	"CV.CVC.CVC"	"CVV.CVC.CVC"
"tʃa.laɪ"	"CV.CV"	"CCV.CVV"
"tʃa.laɪ.ja"	"CV.CV.CV"	"CCV.CVV.CV"
"ta.lam"	"CV.CVC"	"CV.CVC"
"ta.laɪ.maɪ"	"CV.CV.CV"	"CV.CVV.CVV"
"ta.laɪ.man"	"CV.CV.CVC"	"CV.CVV.CVC"
"ta.lɪŋ"	"CV.CVC"	"CV.CVC"
"ta.lɪŋ.a.ja"	"CV.CVC.V.CV"	"CV.CVC.V.CV"
"tam"	"CVC"	"CVC"
"tʃam"	"CVC"	"CCVC"
"ta.ma.la"	"CV.CV.CV"	"CV.CV.CV"
"ta.man"	"CV.CVC"	"CV.CVC"
"ta.maːn"	"CV.CVC"	"CV.CVVC"
"ta.man.jam"	"CV.CVC.CVC"	"CV.CVC.CVC"
"tam.ba.ran"	"CVC.CV.CVC"	"CVC.CV.CVC"
"tam.braŋ"	"CVC.CCVC"	"CVC.CCVC"
"ta.mi.su"	"CV.CV.CV"	"CV.CV.CV"
"ta.mo"	"CV.CV"	"CV.CV"
"tam.pu"	"CVC.CV"	"CVC.CV"
"tʃaːm.pu.lʊɪ"	"CVC.CV.CV"	"CCVVC.CV.CVV"
"tan"	"CVC"	"CVC"
"tʃaːn"	"CVC"	"CCVVC"
"tan.da"	"CVC.CV"	"CVC.CV"
"tan.daŋ"	"CVC.CVC"	"CVC.CVC"
"tan.da.sɪŋ"	"CVC.CV.CVC"	"CVC.CV.CVC"
"taŋ"	"CVC"	"CVC"
"taŋ.a.ja"	"CVC.V.CV"	"CVC.V.CV"
"taŋ.ja.man"	"CVC.CV.CVC"	"CVC.CV.CVC"
"tʃaːn.jan"	"CVC.CVC"	"CCVVC.CVC"
"tʃaːn.tʃaːn"	"CVC.CVC"	"CCVVC.CCVVC"
"tan.taŋ"	"CVC.CVC"	"CVC.CVC"
"ta.paɪ"	"CV.CV"	"CV.CVV"
"ta.pa.la"	"CV.CV.CV"	"CV.CV.CV"
"ta.pan"	"CV.CVC"	"CV.CVC"
"ta.paɪ.pe.rɪn"	"CV.CV.CV.CVC"	"CV.CVV.CV.CVC"
"ta.pjaːn"	"CV.CCVC"	"CV.CCVVC"
"ta.pɪs.jam"	"CV.CVC.CVC"	"CV.CVC.CVC"
"tar"	"CVC"	"CVC"
"ta.ran"	"CV.CVC"	"CV.CVC"
"tar.ba.sʊɪ"	"CVC.CV.CV"	"CVC.CV.CVV"
"ta.re.la"	"CV.CV.CV"	"CV.CV.CV"
"ta.ri.ka"	"CV.CV.CV"	"CV.CV.CV"
"tar.jan"	"CVC.CVC"	"CVC.CVC"
"ta.rɪŋ"	"CV.CVC"	"CV.CVC"
"ta.rɪŋ.a.ja"	"CV.CVC.V.CV"	"CV.CVC.V.CV"
"ta.rɔɪ"	"CV.CV"	"CV.CVV"
"tar.tar"	"CVC.CVC"	"CVC.CVC"
"tar.tar.i.hɪm"	"CVC.CVC.V.CVC"	"CVC.CVC.V.CVC"
"tas"	"CVC"	"CVC"
"ta.sa.nan"	"CV.CV.CVC"	"CV.CV.CVC"
"ta.saŋ"	"CV.CVC"	"CV.CVC"
"ta.se.la"	"CV.CV.CV"	"CV.CV.CV"
"ta.sə.laːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"ta.taɪ"	"CV.CV"	"CV.CVV"
"ta.ta.man"	"CV.CV.CVC"	"CV.CV.CVC"
"tʃaː.ti"	"CV.CV"	"CCVV.CV"
"ta.va.la"	"CV.CV.CV"	"CV.CV.CV"
"ta.va.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ta.vi.dʒan"	"CV.CV.CVC"	"CV.CV.CCVC"
"ta.vi.saɪ"	"CV.CV.CV"	"CV.CV.CVV"
"ta.vi.sa.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ta.vi.saː.ja"	"CV.CV.CV.CV"	"CV.CV.CVV.CV"
"ta.vi.saːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"te.ba.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"te.dan"	"CV.CVC"	"CV.CVC"
"te.gan"	"CV.CVC"	"CV.CVC"
"te.haʊ"	"CV.CV"	"CV.CVV"
"te.has"	"CV.CVC"	"CV.CVC"
"te.ja"	"CV.CV"	"CV.CV"
"te.jam"	"CV.CVC"	"CV.CVC"
"te.ka.lan"	"CV.CV.CVC"	"CV.CV.CVC"
"te.ka.li.su"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"te.ka.lu"	"CV.CV.CV"	"CV.CV.CV"
"te.kɪn"	"CV.CVC"	"CV.CVC"
"te.kwan"	"CV.CCVC"	"CV.CCVC"
"tɛl.ba.go.nan"	"CVC.CV.CV.CVC"	"CVC.CV.CV.CVC"
"tɛl.baːn"	"CVC.CVC"	"CVC.CVVC"
"tɛl.ba.sa.saːn"	"CVC.CV.CV.CVC"	"CVC.CV.CV.CVVC"
"tɛl.bja.man"	"CVC.CCV.CVC"	"CVC.CCV.CVC"
"te.le.ka.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"tɛm.bɪs"	"CVC.CVC"	"CVC.CVC"
"tɛm.bɪs.jə"	"CVC.CVC.CV"	"CVC.CVC.CV"
"te.mi.hɪn"	"CV.CV.CVC"	"CV.CV.CVC"
"te.mɪs"	"CV.CVC"	"CV.CVC"
"tɛn"	"CVC"	"CVC"
"te.nan"	"CV.CVC"	"CV.CVC"
"tɛn.dan"	"CVC.CVC"	"CVC.CVC"
"tɛn.do"	"CVC.CV"	"CVC.CV"
"tɛŋ"	"CVC"	"CVC"
"tɛŋ.a.ja"	"CVC.V.CV"	"CVC.V.CV"
"tɛŋ.jas"	"CVC.CVC"	"CVC.CVC"
"te.ni.taɪ"	"CV.CV.CV"	"CV.CV.CVV"
"tɛn.ja"	"CVC.CV"	"CVC.CV"
"tɛn.jan"	"CVC.CVC"	"CVC.CVC"
"tɛn.ja.no"	"CVC.CV.CV"	"CVC.CV.CV"
"tɛn.ju"	"CVC.CV"	"CVC.CV"
"te.no"	"CV.CV"	"CV.CV"
"te.no.han"	"CV.CV.CVC"	"CV.CV.CVC"
"te.nu.ban"	"CV.CV.CVC"	"CV.CV.CVC"
"te.nu.bar.jan"	"CV.CV.CVC.CVC"	"CV.CV.CVC.CVC"
"tɛn.van"	"CVC.CVC"	"CVC.CVC"
"te.pɪl"	"CV.CVC"	"CV.CVC"
"te.pɪl.pi.haːn"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVVC"
"te.pɪŋ"	"CV.CVC"	"CV.CVC"
"te.ra"	"CV.CV"	"CV.CV"
"te.ral"	"CV.CVC"	"CV.CVC"
"te.raɪ.mi.no"	"CV.CV.CV.CV"	"CV.CVV.CV.CV"
"te.ri"	"CV.CV"	"CV.CV"
"tɛr.laŋ"	"CVC.CVC"	"CVC.CVC"
"tɛr.nu"	"CVC.CV"	"CVC.CV"
"te.rɔn"	"CV.CVC"	"CV.CVC"
"tɛr.pas"	"CVC.CVC"	"CVC.CVC"
"tɛr.pa.saːn"	"CVC.CV.CVC"	"CVC.CV.CVVC"
"tɛr.pɛŋ"	"CVC.CVC"	"CVC.CVC"
"tɛs"	"CVC"	"CVC"
"teɪs"	"CVC"	"CVVC"
"te.te.ni.sa"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"te.ti"	"CV.CV"	"CV.CV"
"ti"	"CV"	"CV"
"ti.an.ja"	"CV.VC.CV"	"CV.VC.CV"
"ti.be.nan"	"CV.CV.CVC"	"CV.CV.CVC"
"ti.bɪn"	"CV.CVC"	"CV.CVC"
"ti.ga"	"CV.CV"	"CV.CV"
"ti.gan"	"CV.CVC"	"CV.CVC"
"ti.haŋ"	"CV.CVC"	"CV.CVC"
"ti.jo"	"CV.CV"	"CV.CV"
"ti.kan"	"CV.CVC"	"CV.CVC"
"ti.kɪm"	"CV.CVC"	"CV.CVC"
"ti.laŋ"	"CV.CVC"	"CV.CVC"
"ti.maŋ"	"CV.CVC"	"CV.CVC"
"ti.nu"	"CV.CV"	"CV.CV"
"ti.pʊɪ"	"CV.CV"	"CV.CVV"
"ti.pal"	"CV.CVC"	"CV.CVC"
"ti.pan"	"CV.CVC"	"CV.CVC"
"ti.pɪn"	"CV.CVC"	"CV.CVC"
"ti.ra.ki.saːn"	"CV.CV.CV.CVC"	"CV.CV.CV.CVVC"
"ti.ras"	"CV.CVC"	"CV.CVC"
"ti.ru"	"CV.CV"	"CV.CV"
"tɪm.baɪ"	"CVC.CV"	"CVC.CVV"
"tɪŋ"	"CVC"	"CVC"
"tɪŋ.ka"	"CVC.CV"	"CVC.CV"
"tɪŋ.kaɪ"	"CVC.CV"	"CVC.CVV"
"tɪŋ.ra"	"CVC.CV"	"CVC.CV"
"tɪŋ.raː.ti"	"CVC.CV.CV"	"CVC.CVV.CV"
"to.gan"	"CV.CVC"	"CV.CVC"
"to.gas"	"CV.CVC"	"CV.CVC"
"to.ja"	"CV.CV"	"CV.CV"
"to.jam"	"CV.CVC"	"CV.CVC"
"to.keɪ"	"CV.CV"	"CV.CVV"
"to.ke.daɪ"	"CV.CV.CV"	"CV.CV.CVV"
"tɔm.ba.ja"	"CVC.CV.CV"	"CVC.CV.CV"
"tɔn"	"CVC"	"CVC"
"tɔn.daɪ"	"CVC.CV"	"CVC.CVV"
"tɔŋ"	"CVC"	"CVC"
"tɔŋ.baɪ"	"CVC.CV"	"CVC.CVV"
"to.ni.saɪ.taŋ"	"CV.CV.CV.CVC"	"CV.CV.CVV.CVC"
"to.no"	"CV.CV"	"CV.CV"
"to.raŋ"	"CV.CVC"	"CV.CVC"
"to.raŋ.an"	"CV.CVC.VC"	"CV.CVC.VC"
"to.raŋ.as"	"CV.CVC.VC"	"CV.CVC.VC"
"to.ri"	"CV.CV"	"CV.CV"
"tɔs"	"CVC"	"CVC"
"tɔɪs"	"CVC"	"CVVC"
"to.san"	"CV.CVC"	"CV.CVC"
"to.va"	"CV.CV"	"CV.CV"
"traːn"	"CCVC"	"CCVVC"
"tra.pas"	"CCV.CVC"	"CCV.CVC"
"trɛn.da"	"CCVC.CV"	"CCVC.CV"
"trɛn.da.paŋ.ɪs"	"CCVC.CV.CVC.VC"	"CCVC.CV.CVC.VC"
"tri"	"CCV"	"CCV"
"tɪs"	"CVC"	"CVC"
"tu.baɪ"	"CV.CV"	"CV.CVV"
"tu.hɔm"	"CV.CVC"	"CV.CVC"
"tu.jaːn"	"CV.CVC"	"CV.CVVC"
"tu.kan"	"CV.CVC"	"CV.CVC"
"tu.ka.raɪ"	"CV.CV.CV"	"CV.CV.CVV"
"tu.kɔŋ"	"CV.CVC"	"CV.CVC"
"tu.laŋ"	"CV.CVC"	"CV.CVC"
"tu.li.paɪ"	"CV.CV.CV"	"CV.CV.CVV"
